order_number,product_key,customer_id,order_date,ship_date,due_date,sales_amount,sales_quantity,sales_price
SO53308,SO-R809-M,11802,2013-02-25,2013-03-04,2013-03-09,9,1,9
SO53348,BK-R89B-52,18284,2013-02-26,2013-03-05,2013-03-10,2443,1,2443
SO53663,HL-U509-R,12291,2013-03-01,2013-03-08,2013-03-13,35,1,35
SO53837,TT-M928,11651,2013-03-04,2013-03-11,2013-03-16,5,1,5
SO54005,SH-W890-S,14694,2013-03-07,2013-03-14,2013-03-19,70,1,70
SO54096,BK-R89B-48,16744,2013-03-08,2013-03-15,2013-03-20,2443,1,2443
SO54169,TT-T092,28465,2013-03-10,2013-03-17,2013-03-22,5,1,5
SO54174,LJ-0192-L,12141,2013-03-10,2013-03-17,2013-03-22,50,1,50
SO54213,TI-R982,25899,2013-03-11,2013-03-18,2013-03-23,33,1,33
SO54237,BK-R19B-58,26758,2013-03-11,2013-03-18,2013-03-23,540,1,540
SO54290,TT-R982,19334,2013-03-12,2013-03-19,2013-03-24,4,1,4
SO43923,BK-R93R-48,28018,2011-01-30,2011-02-06,2011-02-11,3578,1,3578
SO44047,BK-M82S-38,25878,2011-02-23,2011-03-02,2011-03-07,3400,1,3400
SO44134,BK-R93R-62,13821,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44360,BK-R93R-44,14158,2011-04-08,2011-04-15,2011-04-20,3578,1,3578
SO44416,BK-M82S-42,11069,2011-04-17,2011-04-24,2011-04-29,3400,1,3400
SO44451,BK-R93R-52,28295,2011-04-26,2011-05-03,2011-05-08,3578,1,3578
SO44716,BK-R93R-56,22230,2011-05-26,2011-06-02,2011-06-07,3578,1,3578
SO45192,BK-R93R-56,14846,2011-07-20,2011-07-27,2011-08-01,3578,1,3578
SO46005,BK-R93R-48,12749,2011-10-27,2011-11-03,2011-11-08,3578,1,3578
SO46273,BK-M82B-48,26060,2011-11-20,2011-11-27,2011-12-02,3375,1,3375
SO46396,BK-R93R-44,12442,2011-11-30,2011-12-07,2011-12-12,3578,1,3578
SO46436,BK-M82S-48,12337,2011-12-05,2011-12-12,2011-12-17,3400,1,3400
SO46458,BK-R93R-62,12771,2011-12-09,2011-12-16,2011-12-21,3578,1,3578
SO47184,BK-R89B-58,21380,2012-02-11,2012-02-18,2012-02-23,2182,1,2182
SO47201,BK-M68S-46,26277,2012-02-13,2012-02-20,2012-02-25,2071,1,2071
SO47897,BK-R89B-52,16573,2012-04-21,2012-04-28,2012-05-03,2182,1,2182
SO47910,BK-M68S-38,13049,2012-04-22,2012-04-29,2012-05-04,2071,1,2071
SO47955,BK-R89B-52,16554,2012-04-29,2012-05-06,2012-05-11,2182,1,2182
SO48131,BK-M68B-42,20483,2012-05-07,2012-05-14,2012-05-19,2049,1,2049
SO48204,BK-R50B-60,26445,2012-05-19,2012-05-26,2012-05-31,783,1,783
SO48486,BK-R50B-52,20866,2012-06-07,2012-06-14,2012-06-19,783,1,783
SO48676,BK-R89R-52,13729,2012-06-24,2012-07-01,2012-07-06,2443,1,2443
SO48843,BK-R50R-62,15489,2012-07-06,2012-07-13,2012-07-18,783,1,783
SO49577,BK-R89B-52,17762,2012-08-31,2012-09-07,2012-09-12,2182,1,2182
SO49690,BK-R89B-48,24008,2012-09-12,2012-09-19,2012-09-24,2182,1,2182
SO49716,BK-R89B-52,17722,2012-09-15,2012-09-22,2012-09-27,2182,1,2182
SO49966,BK-M68S-38,12856,2012-10-05,2012-10-12,2012-10-17,2071,1,2071
SO50002,BK-R89R-44,24170,2012-10-08,2012-10-15,2012-10-20,2443,1,2443
SO50393,BK-R50B-60,15918,2012-11-02,2012-11-09,2012-11-14,783,1,783
SO51194,HL-U509,11089,2012-12-29,2013-01-05,2013-01-10,35,1,35
SO51464,BK-T79Y-60,27819,2013-01-14,2013-01-21,2013-01-26,2384,1,2384
SO51484,BK-R89R-58,19433,2013-01-16,2013-01-23,2013-01-28,2443,1,2443
SO51521,BK-T18U-58,28671,2013-01-18,2013-01-25,2013-01-30,742,1,742
SO51540,HL-U509,19213,2013-01-19,2013-01-26,2013-01-31,35,1,35
SO51559,BK-R64Y-44,24605,2013-01-20,2013-01-27,2013-02-01,1120,1,1120
SO51642,SJ-0194-L,12384,2013-01-25,2013-02-01,2013-02-06,54,1,54
SO51672,BK-R89B-44,19435,2013-01-27,2013-02-03,2013-02-08,2443,1,2443
SO51683,WB-H098,11095,2013-01-27,2013-02-03,2013-02-08,5,1,5
SO52039,BC-M005,21762,2013-01-31,2013-02-07,2013-02-12,10,1,10
SO52060,TI-R628,18699,2013-01-31,2013-02-07,2013-02-12,25,1,25
SO52213,LJ-0192-L,11410,2013-02-04,2013-02-11,2013-02-16,50,1,50
SO52250,FE-6654,13360,2013-02-04,2013-02-11,2013-02-16,22,1,22
SO52495,SH-W890-S,27283,2013-02-09,2013-02-16,2013-02-21,70,1,70
SO52542,SH-W890-S,28101,2013-02-10,2013-02-17,2013-02-22,70,1,70
SO52695,TT-M928,23449,2013-02-13,2013-02-20,2013-02-25,5,1,5
SO52708,TI-M823,11176,2013-02-13,2013-02-20,2013-02-25,35,1,35
SO52719,BK-T79U-54,28326,2013-02-13,2013-02-20,2013-02-25,2384,1,2384
SO52911,TI-T723,26838,2013-02-17,2013-02-24,2013-03-01,29,1,29
SO52924,HL-U509-B,19533,2013-02-17,2013-02-24,2013-03-01,35,1,35
SO52943,SH-W890-S,13568,2013-02-18,2013-02-25,2013-03-02,70,1,70
SO53262,WB-H098,16777,2013-02-24,2013-03-03,2013-03-08,5,1,5
SO53405,TT-R982,18256,2013-02-27,2013-03-06,2013-03-11,4,1,4
SO53684,TI-M602,11142,2013-03-01,2013-03-08,2013-03-13,30,1,30
SO53764,HL-U509,27791,2013-03-02,2013-03-09,2013-03-14,35,1,35
SO53767,GL-H102-L,28840,2013-03-02,2013-03-09,2013-03-14,24,1,24
SO54067,BC-M005,14842,2013-03-08,2013-03-15,2013-03-20,10,1,10
SO54186,BK-R64Y-38,24887,2013-03-11,2013-03-18,2013-03-23,1120,1,1120
SO43970,BK-R93R-44,16684,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO44036,BK-R93R-62,17046,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44174,BK-R93R-44,17229,2011-03-08,2011-03-15,2011-03-20,3578,1,3578
SO44428,BK-R93R-52,28362,2011-04-19,2011-04-26,2011-05-01,3578,1,3578
SO44441,BK-R93R-48,22118,2011-04-22,2011-04-29,2011-05-04,3578,1,3578
SO44627,BK-M82B-42,11109,2011-05-10,2011-05-17,2011-05-22,3375,1,3375
SO45027,BK-R93R-56,28871,2011-06-29,2011-07-06,2011-07-11,3578,1,3578
SO45155,BK-R93R-48,18900,2011-07-14,2011-07-21,2011-07-26,3578,1,3578
SO45403,BK-R93R-56,23114,2011-08-10,2011-08-17,2011-08-22,3578,1,3578
SO46297,BK-R93R-52,12033,2011-11-23,2011-11-30,2011-12-05,3578,1,3578
SO46401,BK-R93R-62,20993,2011-11-30,2011-12-07,2011-12-12,3578,1,3578
SO46524,BK-M82B-48,26111,2011-12-18,2011-12-25,2011-12-30,3375,1,3375
SO46580,BK-R93R-62,12187,2011-12-25,2012-01-01,2012-01-06,3578,1,3578
SO46821,BK-R89B-52,24824,2012-01-15,2012-01-22,2012-01-27,2182,1,2182
SO47576,BK-R89B-52,21877,2012-03-17,2012-03-24,2012-03-29,2182,1,2182
SO47598,BK-M68B-38,26306,2012-03-20,2012-03-27,2012-04-01,2049,1,2049
SO47784,BK-M68S-46,13078,2012-04-06,2012-04-13,2012-04-18,2071,1,2071
SO47945,BK-R89R-52,14791,2012-04-28,2012-05-05,2012-05-10,2443,1,2443
SO47957,BK-R64Y-48,14095,2012-04-29,2012-05-06,2012-05-11,1000,1,1000
SO47958,BK-R50R-48,15349,2012-04-29,2012-05-06,2012-05-11,783,1,783
SO48139,BK-R89R-52,22857,2012-05-08,2012-05-15,2012-05-20,2443,1,2443
SO48420,BK-R89B-52,14957,2012-06-01,2012-06-08,2012-06-13,2182,1,2182
SO48551,BK-R50R-52,20833,2012-06-12,2012-06-19,2012-06-24,783,1,783
SO48565,BK-M68B-38,26604,2012-06-13,2012-06-20,2012-06-25,2049,1,2049
SO49273,BK-M68S-38,21272,2012-08-09,2012-08-16,2012-08-21,2071,1,2071
SO49280,BK-R89R-44,17815,2012-08-11,2012-08-18,2012-08-23,2443,1,2443
SO49378,BK-M68B-42,27051,2012-08-20,2012-08-27,2012-09-01,2049,1,2049
SO49391,BK-R89B-58,13877,2012-08-21,2012-08-28,2012-09-02,2182,1,2182
SO49597,BK-R89R-44,24001,2012-09-01,2012-09-08,2012-09-13,2443,1,2443
SO49740,BK-M68S-42,14310,2012-09-17,2012-09-24,2012-09-29,2071,1,2071
SO49751,BK-R89R-44,17966,2012-09-19,2012-09-26,2012-10-01,2443,1,2443
SO49940,BK-M68S-42,12859,2012-10-02,2012-10-09,2012-10-14,2071,1,2071
SO49985,BK-M68B-42,11339,2012-10-07,2012-10-14,2012-10-19,2049,1,2049
SO50508,BK-R89B-44,24361,2012-11-13,2012-11-20,2012-11-25,2182,1,2182
SO50816,BK-R64Y-44,17944,2012-12-03,2012-12-10,2012-12-15,1000,1,1000
SO50960,BK-R89B-48,17986,2012-12-16,2012-12-23,2012-12-28,2182,1,2182
SO51001,BK-M68B-38,27467,2012-12-20,2012-12-27,2013-01-01,2049,1,2049
SO51265,LJ-0192-S,11264,2013-01-02,2013-01-09,2013-01-14,50,1,50
SO51377,HL-U509-R,14047,2013-01-09,2013-01-16,2013-01-21,35,1,35
SO51392,HL-U509-B,16388,2013-01-10,2013-01-17,2013-01-22,35,1,35
SO51639,TT-M928,15630,2013-01-25,2013-02-01,2013-02-06,5,1,5
SO51650,BK-M68B-42,11011,2013-01-25,2013-02-01,2013-02-06,2295,1,2295
SO51688,HL-U509-B,16310,2013-01-27,2013-02-03,2013-02-08,35,1,35
SO52202,BK-M68S-46,11526,2013-02-03,2013-02-10,2013-02-15,2320,1,2320
SO52227,TT-T092,26598,2013-02-04,2013-02-11,2013-02-16,5,1,5
SO52262,FE-6654,11793,2013-02-04,2013-02-11,2013-02-16,22,1,22
SO52277,TI-R092,21041,2013-02-04,2013-02-11,2013-02-16,21,1,21
SO52297,LJ-0192-M,17715,2013-02-05,2013-02-12,2013-02-17,50,1,50
SO52662,CA-1098,23209,2013-02-12,2013-02-19,2013-02-24,9,1,9
SO52805,TT-M928,16477,2013-02-15,2013-02-22,2013-02-27,5,1,5
SO52863,SH-W890-L,19010,2013-02-16,2013-02-23,2013-02-28,70,1,70
SO53083,TT-R982,22448,2013-02-21,2013-02-28,2013-03-05,4,1,4
SO53232,CA-1098,12654,2013-02-23,2013-03-02,2013-03-07,9,1,9
SO53666,RA-H123,11176,2013-03-01,2013-03-08,2013-03-13,120,1,120
SO53682,HL-U509,11253,2013-03-01,2013-03-08,2013-03-13,35,1,35
SO53724,PK-7098,21961,2013-03-02,2013-03-09,2013-03-14,2,1,2
SO53761,FE-6654,12114,2013-03-02,2013-03-09,2013-03-14,22,1,22
SO53790,PK-7098,12795,2013-03-03,2013-03-10,2013-03-15,2,1,2
SO53793,GL-H102-S,19774,2013-03-03,2013-03-10,2013-03-15,24,1,24
SO53965,FE-6654,12151,2013-03-06,2013-03-13,2013-03-18,22,1,22
SO54042,WB-H098,13983,2013-03-08,2013-03-15,2013-03-20,5,1,5
SO54171,LJ-0192-X,13416,2013-03-10,2013-03-17,2013-03-22,50,1,50
SO44374,BK-R93R-62,14157,2011-04-10,2011-04-17,2011-04-22,3578,1,3578
SO44598,BK-M82B-38,29400,2011-05-06,2011-05-13,2011-05-18,3375,1,3375
SO44710,BK-R93R-52,28674,2011-05-25,2011-06-01,2011-06-06,3578,1,3578
SO44868,BK-R93R-52,28852,2011-06-08,2011-06-15,2011-06-20,3578,1,3578
SO44874,BK-R50R-58,18004,2011-06-10,2011-06-17,2011-06-22,699,1,699
SO45391,BK-R93R-52,19588,2011-08-07,2011-08-14,2011-08-19,3578,1,3578
SO45429,BK-R93R-62,28129,2011-08-13,2011-08-20,2011-08-25,3578,1,3578
SO45975,BK-R50R-62,14755,2011-10-23,2011-10-30,2011-11-04,699,1,699
SO46128,BK-R93R-56,14945,2011-10-31,2011-11-07,2011-11-12,3578,1,3578
SO46310,BK-R50B-62,25938,2011-11-25,2011-12-02,2011-12-07,699,1,699
SO46774,BK-R89B-48,13225,2012-01-09,2012-01-16,2012-01-21,2182,1,2182
SO47269,BK-M68B-46,28512,2012-02-21,2012-02-28,2012-03-04,2049,1,2049
SO47460,BK-R50R-58,19255,2012-02-29,2012-03-07,2012-03-12,783,1,783
SO47833,BK-R89B-44,22031,2012-04-13,2012-04-20,2012-04-25,2182,1,2182
SO47855,BK-M68S-42,12987,2012-04-16,2012-04-23,2012-04-28,2071,1,2071
SO47952,BK-R89R-48,22193,2012-04-28,2012-05-05,2012-05-10,2443,1,2443
SO48608,BK-M68B-38,26644,2012-06-17,2012-06-24,2012-06-29,2049,1,2049
SO48656,BK-R50B-62,20829,2012-06-22,2012-06-29,2012-07-04,783,1,783
SO49734,BK-M68B-46,27086,2012-09-16,2012-09-23,2012-09-28,2049,1,2049
SO50001,BK-M68S-38,15183,2012-10-08,2012-10-15,2012-10-20,2071,1,2071
SO50043,BK-R64Y-42,14398,2012-10-12,2012-10-19,2012-10-24,1000,1,1000
SO50163,BK-M68S-42,27250,2012-10-25,2012-11-01,2012-11-06,2071,1,2071
SO50391,BK-R50B-62,15901,2012-11-02,2012-11-09,2012-11-14,783,1,783
SO50584,BK-M68B-38,15585,2012-11-21,2012-11-28,2012-12-03,2049,1,2049
SO50801,BK-R50B-60,15989,2012-12-01,2012-12-08,2012-12-13,783,1,783
SO51298,BK-R19B-48,27949,2013-01-04,2013-01-11,2013-01-16,540,1,540
SO51336,TT-R982,18243,2013-01-07,2013-01-14,2013-01-19,4,1,4
SO51464,HL-U509-B,27819,2013-01-14,2013-01-21,2013-01-26,35,1,35
SO51615,BK-T79Y-54,24420,2013-01-23,2013-01-30,2013-02-04,2384,1,2384
SO51936,TT-R982,11287,2013-01-29,2013-02-05,2013-02-10,4,1,4
SO52161,BK-M68S-42,11381,2013-02-03,2013-02-10,2013-02-15,2320,1,2320
SO52171,PK-7098,15172,2013-02-03,2013-02-10,2013-02-15,2,1,2
SO52290,TI-M823,22848,2013-02-05,2013-02-12,2013-02-17,35,1,35
SO52322,BK-M68B-46,11216,2013-02-05,2013-02-12,2013-02-17,2295,1,2295
SO52341,HL-U509-R,23824,2013-02-06,2013-02-13,2013-02-18,35,1,35
SO52378,PK-7098,16133,2013-02-07,2013-02-14,2013-02-19,2,1,2
SO52468,BC-R205,16713,2013-02-08,2013-02-15,2013-02-20,9,1,9
SO52481,BK-M38S-38,17975,2013-02-09,2013-02-16,2013-02-21,769,1,769
SO52508,TT-T092,13815,2013-02-09,2013-02-16,2013-02-21,5,1,5
SO52541,GL-H102-M,28631,2013-02-10,2013-02-17,2013-02-22,24,1,24
SO52582,FE-6654,22924,2013-02-11,2013-02-18,2013-02-23,22,1,22
SO52710,TI-M823,12040,2013-02-13,2013-02-20,2013-02-25,35,1,35
SO52719,TT-T092,28326,2013-02-13,2013-02-20,2013-02-25,5,1,5
SO52836,LJ-0192-L,19535,2013-02-15,2013-02-22,2013-02-27,50,1,50
SO52857,TI-M602,23140,2013-02-16,2013-02-23,2013-02-28,30,1,30
SO53109,TT-R982,12509,2013-02-21,2013-02-28,2013-03-05,4,1,4
SO53128,BK-R19B-58,24778,2013-02-21,2013-02-28,2013-03-05,540,1,540
SO53161,TT-T092,23237,2013-02-22,2013-03-01,2013-03-06,5,1,5
SO53162,TT-R982,26911,2013-02-22,2013-03-01,2013-03-06,4,1,4
SO53249,BK-R89B-52,22449,2013-02-24,2013-03-03,2013-03-08,2443,1,2443
SO53255,FE-6654,17442,2013-02-24,2013-03-03,2013-03-08,22,1,22
SO53256,LJ-0192-X,22734,2013-02-24,2013-03-03,2013-03-08,50,1,50
SO53273,HL-U509,11293,2013-02-24,2013-03-03,2013-03-08,35,1,35
SO53688,PK-7098,28239,2013-03-01,2013-03-08,2013-03-13,2,1,2
SO53938,TT-M928,22242,2013-03-06,2013-03-13,2013-03-18,5,1,5
SO54029,CL-9009,26330,2013-03-07,2013-03-14,2013-03-19,8,1,8
SO54243,TI-R092,21915,2013-03-11,2013-03-18,2013-03-23,21,1,21
SO54266,BK-M68B-46,13555,2013-03-12,2013-03-19,2013-03-24,2295,1,2295
SO43806,BK-R93R-48,16523,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43971,BK-R93R-56,16657,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO44159,BK-R93R-44,28182,2011-03-05,2011-03-12,2011-03-17,3578,1,3578
SO44252,BK-R93R-48,13777,2011-03-26,2011-04-02,2011-04-07,3578,1,3578
SO44335,BK-R50R-62,20165,2011-04-04,2011-04-11,2011-04-16,699,1,699
SO44409,BK-R50R-58,25563,2011-04-15,2011-04-22,2011-04-27,699,1,699
SO44632,BK-R93R-56,18196,2011-05-11,2011-05-18,2011-05-23,3578,1,3578
SO44860,BK-R93R-62,18693,2011-06-07,2011-06-14,2011-06-19,3578,1,3578
SO44928,BK-R93R-56,14843,2011-06-17,2011-06-24,2011-06-29,3578,1,3578
SO45130,BK-R93R-52,14975,2011-07-11,2011-07-18,2011-07-23,3578,1,3578
SO45436,BK-R93R-48,28130,2011-08-14,2011-08-21,2011-08-26,3578,1,3578
SO46292,BK-R93R-52,20418,2011-11-22,2011-11-29,2011-12-04,3578,1,3578
SO46451,BK-R93R-62,12709,2011-12-08,2011-12-15,2011-12-20,3578,1,3578
SO46576,BK-R93R-62,24757,2011-12-25,2012-01-01,2012-01-06,3578,1,3578
SO46904,BK-R64Y-44,17080,2012-01-26,2012-02-02,2012-02-07,1000,1,1000
SO47255,BK-M68B-38,11561,2012-02-19,2012-02-26,2012-03-02,2049,1,2049
SO47263,BK-M68B-38,12589,2012-02-19,2012-02-26,2012-03-02,2049,1,2049
SO47541,BK-R50B-48,15314,2012-03-12,2012-03-19,2012-03-24,783,1,783
SO48566,BK-R89B-48,22906,2012-06-13,2012-06-20,2012-06-25,2182,1,2182
SO48701,BK-M68B-42,13103,2012-06-26,2012-07-03,2012-07-08,2049,1,2049
SO48904,BK-M68B-46,12492,2012-07-13,2012-07-20,2012-07-25,2049,1,2049
SO48987,BK-R50R-58,26655,2012-07-22,2012-07-29,2012-08-03,783,1,783
SO49242,BK-R89R-44,23524,2012-08-06,2012-08-13,2012-08-18,2443,1,2443
SO49403,BK-M68B-46,12397,2012-08-23,2012-08-30,2012-09-04,2049,1,2049
SO49556,BK-R50B-44,26752,2012-08-28,2012-09-04,2012-09-09,783,1,783
SO49899,BK-R89R-44,17873,2012-09-28,2012-10-05,2012-10-10,2443,1,2443
SO49915,BK-M68S-42,15143,2012-09-29,2012-10-06,2012-10-11,2071,1,2071
SO49960,BK-R89B-48,24249,2012-10-04,2012-10-11,2012-10-16,2182,1,2182
SO50027,BK-R89R-58,24272,2012-10-10,2012-10-17,2012-10-22,2182,1,2182
SO50078,BK-R89R-52,24251,2012-10-15,2012-10-22,2012-10-27,2443,1,2443
SO50612,BK-M68B-38,15590,2012-11-24,2012-12-01,2012-12-06,2049,1,2049
SO51323,HL-U509-B,11332,2013-01-06,2013-01-13,2013-01-18,35,1,35
SO51453,TT-R982,25605,2013-01-13,2013-01-20,2013-01-25,4,1,4
SO51962,BK-T18Y-54,16491,2013-01-29,2013-02-05,2013-02-10,742,1,742
SO52013,BK-T18Y-58,13260,2013-01-30,2013-02-06,2013-02-11,742,1,742
SO52114,TI-R628,15592,2013-02-02,2013-02-09,2013-02-14,25,1,25
SO52313,TI-T723,28409,2013-02-05,2013-02-12,2013-02-17,29,1,29
SO52422,TI-R628,11287,2013-02-08,2013-02-15,2013-02-20,25,1,25
SO52561,HL-U509,11500,2013-02-10,2013-02-17,2013-02-22,35,1,35
SO52668,HL-U509-R,27821,2013-02-12,2013-02-19,2013-02-24,35,1,35
SO52753,TI-M602,14820,2013-02-14,2013-02-21,2013-02-26,30,1,30
SO52782,TT-R982,26543,2013-02-15,2013-02-22,2013-02-27,4,1,4
SO52846,BK-M68B-46,11382,2013-02-16,2013-02-23,2013-02-28,2295,1,2295
SO52976,HL-U509-B,29268,2013-02-19,2013-02-26,2013-03-03,35,1,35
SO52977,TT-T092,27293,2013-02-19,2013-02-26,2013-03-03,5,1,5
SO53026,TI-M267,11176,2013-02-20,2013-02-27,2013-03-04,25,1,25
SO53031,WB-H098,21159,2013-02-20,2013-02-27,2013-03-04,5,1,5
SO53134,BK-M68B-46,11479,2013-02-22,2013-03-01,2013-03-06,2295,1,2295
SO53157,TT-M928,13802,2013-02-22,2013-03-01,2013-03-06,5,1,5
SO53175,LJ-0192-S,20160,2013-02-22,2013-03-01,2013-03-06,50,1,50
SO53212,VE-C304-L,18109,2013-02-23,2013-03-02,2013-03-07,64,1,64
SO53234,HL-U509-B,13871,2013-02-23,2013-03-02,2013-03-07,35,1,35
SO53278,FE-6654,19217,2013-02-24,2013-03-03,2013-03-08,22,1,22
SO53299,ST-1401,11087,2013-02-25,2013-03-04,2013-03-09,159,1,159
SO53300,TI-R628,28862,2013-02-25,2013-03-04,2013-03-09,25,1,25
SO53409,SJ-0194-M,15606,2013-02-27,2013-03-06,2013-03-11,54,1,54
SO53636,TI-M602,23354,2013-02-28,2013-03-07,2013-03-12,30,1,30
SO53685,TI-M602,22743,2013-03-01,2013-03-08,2013-03-13,30,1,30
SO53771,BK-R64Y-42,21310,2013-03-02,2013-03-09,2013-03-14,1120,1,1120
SO53806,TT-M928,26693,2013-03-03,2013-03-10,2013-03-15,5,1,5
SO53808,HL-U509-B,15069,2013-03-03,2013-03-10,2013-03-15,35,1,35
SO53819,BC-M005,12983,2013-03-03,2013-03-10,2013-03-15,10,1,10
SO53896,HL-U509-B,15496,2013-03-05,2013-03-12,2013-03-17,35,1,35
SO53904,CA-1098,11408,2013-03-05,2013-03-12,2013-03-17,9,1,9
SO53909,WB-H098,12122,2013-03-05,2013-03-12,2013-03-17,5,1,5
SO53946,GL-H102-L,20528,2013-03-06,2013-03-13,2013-03-18,24,1,24
SO54147,BK-T79Y-60,15084,2013-03-09,2013-03-16,2013-03-21,2384,1,2384
SO54193,TI-R628,15791,2013-03-11,2013-03-18,2013-03-23,25,1,25
SO54194,TI-R092,17908,2013-03-11,2013-03-18,2013-03-23,21,1,21
SO43720,BK-R93R-44,13264,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO44417,BK-R93R-44,17917,2011-04-17,2011-04-24,2011-04-29,3578,1,3578
SO44660,BK-R93R-62,28775,2011-05-15,2011-05-22,2011-05-27,3578,1,3578
SO44687,BK-R50B-52,20172,2011-05-20,2011-05-27,2011-06-01,699,1,699
SO44861,BK-R93R-56,18288,2011-06-07,2011-06-14,2011-06-19,3578,1,3578
SO45022,BK-M82B-44,11447,2011-06-28,2011-07-05,2011-07-10,3375,1,3375
SO45175,BK-R93R-52,29238,2011-07-17,2011-07-24,2011-07-29,3578,1,3578
SO45925,BK-M82S-48,11942,2011-10-15,2011-10-22,2011-10-27,3400,1,3400
SO46433,BK-R93R-48,20991,2011-12-05,2011-12-12,2011-12-17,3578,1,3578
SO46527,BK-R50B-60,25940,2011-12-18,2011-12-25,2011-12-30,699,1,699
SO46534,BK-R93R-48,20620,2011-12-19,2011-12-26,2011-12-31,3578,1,3578
SO46594,BK-R93R-56,20818,2011-12-27,2012-01-03,2012-01-08,3578,1,3578
SO46727,BK-R89R-52,21002,2012-01-03,2012-01-10,2012-01-15,2443,1,2443
SO46919,BK-M68B-46,11481,2012-01-27,2012-02-03,2012-02-08,2049,1,2049
SO47206,BK-R50B-58,15256,2012-02-14,2012-02-21,2012-02-26,783,1,783
SO47292,BK-R89B-58,13811,2012-02-23,2012-03-01,2012-03-06,2182,1,2182
SO47331,BK-R50B-58,20807,2012-02-27,2012-03-05,2012-03-10,783,1,783
SO47466,BK-R64Y-38,24887,2012-03-01,2012-03-08,2012-03-13,1000,1,1000
SO47498,BK-R50R-62,27071,2012-03-07,2012-03-14,2012-03-19,783,1,783
SO47638,BK-M68B-46,26319,2012-03-26,2012-04-02,2012-04-07,2049,1,2049
SO48231,BK-M68B-46,26579,2012-05-23,2012-05-30,2012-06-04,2049,1,2049
SO48584,BK-R89B-58,22935,2012-06-15,2012-06-22,2012-06-27,2182,1,2182
SO48604,BK-M68S-42,26609,2012-06-17,2012-06-24,2012-06-29,2071,1,2071
SO48622,BK-M68S-46,13156,2012-06-18,2012-06-25,2012-06-30,2071,1,2071
SO49196,BK-M68S-42,12386,2012-08-02,2012-08-09,2012-08-14,2071,1,2071
SO49739,BK-R89B-52,13895,2012-09-17,2012-09-24,2012-09-29,2182,1,2182
SO49943,BK-R64Y-40,14417,2012-10-02,2012-10-09,2012-10-14,1000,1,1000
SO49996,BK-M68B-46,12735,2012-10-08,2012-10-15,2012-10-20,2049,1,2049
SO50493,BK-M68B-46,27453,2012-11-12,2012-11-19,2012-11-24,2049,1,2049
SO50656,BK-R50B-62,27362,2012-11-27,2012-12-04,2012-12-09,783,1,783
SO50805,BK-R64Y-42,14471,2012-12-01,2012-12-08,2012-12-13,1000,1,1000
SO51056,BK-R89B-48,13949,2012-12-25,2013-01-01,2013-01-06,2182,1,2182
SO51065,BK-M68B-42,27539,2012-12-26,2013-01-02,2013-01-07,2049,1,2049
SO51260,WB-H098,25618,2013-01-01,2013-01-08,2013-01-13,5,1,5
SO51300,BK-R89B-48,16702,2013-01-05,2013-01-12,2013-01-17,2443,1,2443
SO51331,BK-T79Y-60,24403,2013-01-06,2013-01-13,2013-01-18,2384,1,2384
SO51409,BK-M68S-38,11417,2013-01-11,2013-01-18,2013-01-23,2320,1,2320
SO51431,BC-M005,11063,2013-01-12,2013-01-19,2013-01-24,10,1,10
SO51956,TI-R092,29393,2013-01-29,2013-02-05,2013-02-10,21,1,21
SO52041,SJ-0194-S,15413,2013-01-31,2013-02-07,2013-02-12,54,1,54
SO52060,BK-R79Y-44,18699,2013-01-31,2013-02-07,2013-02-12,1701,1,1701
SO52137,HL-U509-B,21120,2013-02-02,2013-02-09,2013-02-14,35,1,35
SO52206,CA-1098,17514,2013-02-03,2013-02-10,2013-02-15,9,1,9
SO52226,TT-T092,26788,2013-02-04,2013-02-11,2013-02-16,5,1,5
SO52256,TI-R092,29425,2013-02-04,2013-02-11,2013-02-16,21,1,21
SO52461,SJ-0194-X,19409,2013-02-08,2013-02-15,2013-02-20,54,1,54
SO52516,WB-H098,11946,2013-02-09,2013-02-16,2013-02-21,5,1,5
SO52517,HL-U509,28673,2013-02-09,2013-02-16,2013-02-21,35,1,35
SO52595,HY-1023-70,18926,2013-02-11,2013-02-18,2013-02-23,55,1,55
SO52631,WB-H098,21715,2013-02-12,2013-02-19,2013-02-24,5,1,5
SO52634,BC-M005,11330,2013-02-12,2013-02-19,2013-02-24,10,1,10
SO52651,TT-M928,13318,2013-02-12,2013-02-19,2013-02-24,5,1,5
SO52663,CL-9009,25096,2013-02-12,2013-02-19,2013-02-24,8,1,8
SO52818,CA-1098,25521,2013-02-15,2013-02-22,2013-02-27,9,1,9
SO52828,BK-M68S-38,11523,2013-02-15,2013-02-22,2013-02-27,2320,1,2320
SO52848,SH-W890-L,22064,2013-02-16,2013-02-23,2013-02-28,70,1,70
SO52902,SJ-0194-M,19643,2013-02-17,2013-02-24,2013-03-01,54,1,54
SO52911,PK-7098,26838,2013-02-17,2013-02-24,2013-03-01,2,1,2
SO52986,TI-M267,17705,2013-02-19,2013-02-26,2013-03-03,25,1,25
